network,geoname_id,registered_country_geoname_id,represented_country_geoname_id,is_anonymous_proxy,is_satellite_provider
2001:470:1c:a1:400::/70,6252001,6252001,,0,0
2001:470:1c:a1:800::/69,6252001,6252001,,0,0
2001:470:1c:a1:1000::/68,6252001,6252001,,0,0
2001:470:1c:a1:2000::/67,6252001,6252001,,0,0
2001:470:1c:a1:4000::/66,6252001,6252001,,0,0
2001:470:1c:a1:8000::/65,6252001,6252001,,0,0
2001:470:1c:a2::/63,6252001,6252001,,0,0
2001:470:1c:a4::/62,6252001,6252001,,0,0
2001:470:1c:a8::/61,6252001,6252001,,0,0
2001:470:1c:b0::/60,6252001,6252001,,0,0
2001:470:1c:c0::/58,6252001,6252001,,0,0
2001:470:1c:100::/56,6252001,6252001,,0,0
2001:470:1c:200::/55,6252001,6252001,,0,0
2001:470:1c:400::/54,6252001,6252001,,0,0
2001:470:1c:800::/53,6252001,6252001,,0,0
2001:470:1c:1000::/52,6252001,6252001,,0,0
2001:470:1c:2000::/51,6252001,6252001,,0,0
2001:470:1c:4000::/50,6252001,6252001,,0,0
2001:470:1c:8000::/49,6252001,6252001,,0,0
2001:470:1d::/57,6252001,6252001,,0,0
2001:470:1d:80::/59,6252001,6252001,,0,0
2001:470:1d:a0::/64,6252001,6252001,,0,0
2001:470:1d:a1::/64,6251999,6252001,,0,0
2001:470:1d:a2::/63,6252001,6252001,,0,0
2001:470:1d:a4::/62,6252001,6252001,,0,0
2001:470:1d:a8::/61,6252001,6252001,,0,0
2001:470:1d:b0::/60,6252001,6252001,,0,0
2001:470:1d:c0::/58,6252001,6252001,,0,0
2001:470:1d:100::/56,6252001,6252001,,0,0
2001:470:1d:200::/55,6252001,6252001,,0,0
2001:470:1d:400::/56,6252001,6252001,,0,0
2001:470:1d:500::/58,6252001,6252001,,0,0
2001:470:1d:540::/59,6252001,6252001,,0,0
2001:470:1d:560::/60,6252001,6252001,,0,0
2001:470:1d:570::/64,6251999,6252001,,0,0
2001:470:1d:571::/64,6252001,6252001,,0,0
2001:470:1d:572::/63,6252001,6252001,,0,0
2001:470:1d:574::/62,6252001,6252001,,0,0
2001:470:1d:578::/61,6252001,6252001,,0,0
2001:470:1d:580::/57,6252001,6252001,,0,0
2001:470:1d:600::/55,6252001,6252001,,0,0
2001:470:1d:800::/53,6252001,6252001,,0,0
2001:470:1d:1000::/52,6252001,6252001,,0,0
2001:470:1d:2000::/51,6252001,6252001,,0,0
2001:470:1d:4000::/50,6252001,6252001,,0,0
2001:470:1d:8000::/49,6252001,6252001,,0,0
2001:470:1e::/47,6252001,6252001,,0,0
2001:470:20::/47,6252001,6252001,,0,0
2001:470:22::/48,6252001,6252001,,0,0
2001:470:23::/54,6252001,6252001,,0,0
2001:470:23:400::/59,6252001,6252001,,0,0
2001:470:23:420::/61,6252001,6252001,,0,0
2001:470:23:428::/63,6252001,6252001,,0,0
2001:470:23:42a::/64,2017370,6252001,,0,0
2001:470:23:42b::/64,6252001,6252001,,0,0
2001:470:23:42c::/62,6252001,6252001,,0,0
2001:470:23:430::/60,6252001,6252001,,0,0
2001:470:23:440::/58,6252001,6252001,,0,0
2001:470:23:480::/57,6252001,6252001,,0,0
2001:470:23:500::/56,6252001,6252001,,0,0
2001:470:23:600::/55,6252001,6252001,,0,0
2001:470:23:800::/53,6252001,6252001,,0,0
2001:470:23:1000::/52,6252001,6252001,,0,0
2001:470:23:2000::/51,6252001,6252001,,0,0
2001:470:23:4000::/50,6252001,6252001,,0,0
2001:470:23:8000::/49,6252001,6252001,,0,0
2001:470:24::/47,1861060,6252001,,0,0
2001:470:26::/53,2658434,6252001,,0,0
2001:470:26:800::/55,2658434,6252001,,0,0
2001:470:26:a00::/56,2658434,6252001,,0,0
2001:470:26:b00::/58,2658434,6252001,,0,0
2001:470:26:b40::/59,2658434,6252001,,0,0
2001:470:26:b60::/61,2658434,6252001,,0,0
2001:470:26:b68::/62,2658434,6252001,,0,0
2001:470:26:b6c::/64,2658434,6252001,,0,0
